,id,plant,size,number,auction,capacity,physical_guarantee,sold_lots,source,company_consortium,year,price_US$,inv_US$,gdp_growth,risk_embi,gkf,fdi,primary_energy_consumption,g,exch,inv_US$_billion,state,inv_size,physical_guarantee_size,distance_from_last_auction
17,18,UTE Baia Formosa (Ampliação),0.111,9,Leilão 4/2006,32,11,11,sugar cane bagasse,Vale Verde Empreendimentos Agrícolas Ltda.,2006,64.43009545,19352063,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.019352063,RN,2150229.222,1.222222222,0.74775673
18,19,UTE Palmeiras de Goiás.,0.111,9,Leilão 4/2006,174.3,69.8,69,diesel oil,Energia Elétrica do Brasil Ltda.,2006,64.38330526,127722721,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.127722721,GO,14191413.44,7.755555556,0.74775673
19,20,UTE do Atlântico,0.111,9,Leilão 4/2006,490,419.8,200,others,Thyssenkrupp CSA Companhia Siderúrgica,2006,64.04641587,563821823,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.563821823,RJ,62646869.22,46.64444444,0.74775673
20,21,UTE Colorado (Ampliação),0.1,10,Leilão 2/2006,32,16,8,sugar cane bagasse,Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda,2006,62.79711772,35417836,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.035417836,SP,3541783.6,1.6,0.74775673
21,22,UTE São José (Ampliação),0.1,10,Leilão 2/2006,50,28.3,28,sugar cane bagasse,Açucareira Zillo Lorenzetti S.A.,2006,62.7924387,86393412,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.086393412,SP,8639341.2,2.83,0.74775673
22,23,UTE Camaçari Polo de Apoio I,0.1,10,Leilão 2/2006,148,101.4,101,fuel oil,"Petrobrás Distribuidora S.A. (30%), Crisga Consultoria em Engenharia Elétrica e Participações Ltda. (20%), WJ Tecnologia Ltda. (15%), Genrent do Brasil Ltda. (20%), Ellocin Brasil Participações e Consultoria Empresarial – ELLOBRAS Ltda. (15%) integrantes do Consórcio BRGEC",2006,62.8392289,116975482,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.116975482,BA,11697548.2,10.14,0.74775673
23,24,UTE Camaçari Muricy I,0.1,10,Leilão 2/2006,148,101.4,101,fuel oil,Petrobrás Distribuidora S.A. (50%) e Morro do Conselho Participações Ltda. (50%) integrantes do Consórcio BRMDC,2006,62.89537713,116975482,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.116975482,BA,11697548.2,10.14,0.74775673
24,25,UTE Santa Izabel (Ampliação),0.1,10,Leilão 2/2006,40,11.3,11,sugar cane bagasse,Usina Santa Isabel Ltda.,2006,62.81115478,30600786,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.030600786,SP,3060078.6,1.13,0.74775673
25,26,UTE Potiguar III,0.1,10,Leilão 2/2006,66,29.5,29,diesel oil,Potiguar S.A. – TEP,2006,62.8158338,25802452,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.025802452,RN,2580245.2,2.95,0.74775673
26,27,UTE Pau Ferro I,0.1,10,Leilão 2/2006,94,46.5,46,diesel oil,Termomanaus Ltda,2006,62.84390792,26062137,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.026062137,PE,2606213.7,4.65,0.74775673
27,28,UTE Termomanaus,0.1,10,Leilão 2/2006,142.24,70.4,70,diesel oil,Termomanaus Ltda,2006,62.84390792,35126334,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.035126334,PE,3512633.4,7.04,0.74775673
28,29,UTE Quirinopolis (Ampliação),0.1,10,Leilão 2/2006,40,11.2,11,sugar cane bagasse,U.S.J. Açúcar e Álcool S.A.,2006,62.75500655,36870672,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.036870672,GO,3687067.2,1.12,0.74775673
29,30,PCH Barra Escondida,0.1,10,Leilão 2/2006,2.25,1.25,1,hydro,QBEC Projetos e Consultoria Ltda. ,2006,58.48306195,3844282,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.003844282,SC,384428.2,0.125,0.74775673
30,31,UTE MPX,0.25,4,Leilão 1/2007,700,631,615,coal,MPX Mineração e Energia Ltda.,2007,71.13809658,1186913301,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,1.186913301,CE,296728325.3,157.75,0.697558545
31,32,UTE Termomaranhão,0.25,4,Leilão 1/2007,350,332.7,315,coal,Diferencial Energia Empreendimentos e Participações Ltda.,2007,72.83253318,798079639,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.798079639,MA,199519909.8,83.175,0.697558545
32,33,UTE Maracanaú II,0.25,4,Leilão 1/2007,73.71,53,51,fuel oil,Thèrmes Participações S.A.,2007,73.96215758,103360633,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.103360633,CE,25840158.25,13.25,0.697558545
33,34,UTE Suape II,0.25,4,Leilão 1/2007,355.68,265.4,265,fuel oil,"Consórcio MPE Montagens e Projetos Especiais, Petrobras Distribuidora S.A., Ellobras Infra-Estrutura e Participações Ltda., Genrent Participações Ltda., Genpower Energy Participações Ltda.",2007,74.26715617,333239198,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.333239198,PE,83309799.5,66.35,0.697558545
34,35,UTE Ester (Ampliação),0.091,11,Leilão 3/2007,30,10.2,7,sugar cane bagasse,Usina Açucareira Ester S.A. ,2007,78.45241457,39536854,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.039536854,SP,3594259.455,0.927272727,0.697558545
35,36,UTE Florida Paulista (Ampliação),0.091,11,Leilão 3/2007,40,21.8,8,sugar cane bagasse,Floralco Açúcar e Álcool Ltda.,2007,78.57667326,35978537,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.035978537,SP,3270776.091,1.981818182,0.697558545
36,37,UTE Iacanga,0.091,11,Leilão 3/2007,12,7.8,4,sugar cane bagasse,Usina Iacanga de Açúcar e Álcool Ltda.,2007,78.47500706,11855408,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.011855408,SP,1077764.364,0.709090909,0.697558545
37,38,UTE Louis Dreyfus Lagoa da Prata,0.091,11,Leilão 3/2007,60,29.8,19,sugar cane bagasse,Louis Dreyfus Commodities Bioenergia S.A.,2007,78.57667326,34024287,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.034024287,MG,3093117,2.709090909,0.697558545
38,39,UTE Louis Dreyfus Rio Brilhante,0.091,11,Leilão 3/2007,90,48.9,22,sugar cane bagasse,Louis Dreyfus Commodities Bioenergia S.A.,2007,78.57667326,29935047,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.029935047,MS,2721367.909,4.445454545,0.697558545
39,40,UTE Pioneiros II,0.091,11,Leilão 3/2007,50,16.9,12,sugar cane bagasse,Pioneiros Bioenergia S.A.,2007,78.57667326,34024287,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.034024287,SP,3093117,1.536363636,0.697558545
40,41,UTE Santa Cruz AB (Ampliação),0.091,11,Leilão 3/2007,50,28,20,sugar cane bagasse,Santa Cruz S.A. Açúcar e Álcool,2007,78.36769274,32250777,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.032250777,SP,2931888.818,2.545454545,0.697558545
41,42,UTE São João da Boa Vista  (Ampliação),0.091,11,Leilão 3/2007,70,23,23,sugar cane bagasse,Dedini Açúcar e Álcool Ltda.,2007,78.28297091,57215476,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.057215476,SP,5201406.909,2.090909091,0.697558545
42,43,UTE Xanxerê,0.091,11,Leilão 3/2007,30,27.1,25,biomass,Fenix Energy Comercialização e Geração de Energia Elétrica Ltda.,2007,78.22648969,23952951,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.023952951,SC,2177541,2.463636364,0.697558545
43,44,PCH Pedra Furada,0.091,11,Leilão 3/2007,6.5,3.19,3,hydro,"Arrara, Koblitz Energia Participações Ltda.",2007,76.23270263,22537136,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.022537136,PE,2048830.545,0.29,0.697558545
44,45,PCH Santa Luzia Alto,0.091,11,Leilão 3/2007,28.5,18.42,14,hydro,Construtora Gomes Lourenço Ltda.,2007,76.24964699,83839639,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.083839639,SC,7621785.364,1.674545455,0.697558545
45,46,UHE Santo Antônio,1,1,Leilão 5/2007,3150.4,2218,1552,hydro,"Consórcio Madeira Energia - Odebrecht Investimentos em Infra-estrutura Ltda. (17,6%);
Construtora Norberto Odebrecht S/A (1%);
Andrade Gutierrez Participações S/A (12,4%);
Cemig Geração e Transmissão S/A (10%);
Furnas Centrais Elétricas S/A (39%), e
Fundo de Investimentos e Participações Amazônia Energia - FIP dos Bancos Banif e Santander (20%).
",2007,44.54673821,5363107122,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,5.363107122,RO,5363107122,2218,0.697558545
46,47,UTE Campina Grande,0.091,11,Leilão 2/2007,164.24,123.6,119,fuel oil,Wärtsilä do Brasil Ltda.,2007,75.02400452,208871404,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.208871404,PB,18988309.45,11.23636364,0.697558545
47,48,UTE Global I,0.091,11,Leilão 2/2007,143.84,105.3,105,fuel oil,Global Participações em Energia S.A.,2007,76.75797797,96018074,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.096018074,BA,8728915.818,9.572727273,0.697558545
48,49,UTE Global II,0.091,11,Leilão 2/2007,148,109.3,109,fuel oil,Global Participações em Energia S.A.,2007,76.75797797,119740186,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.119740186,BA,10885471.45,9.936363636,0.697558545
49,50,UTE Itapebi,0.091,11,Leilão 2/2007,137.6,103.7,103,fuel oil,South Bahia Energia Ltda.,2007,75.45890991,114670997,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.114670997,BA,10424636.09,9.427272727,0.697558545
50,51,UTE Maracanaú I,0.091,11,Leilão 2/2007,162.34,122.9,119,fuel oil,Thermes Participações S.A.,2007,75.19344818,200621293,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.200621293,CE,18238299.36,11.17272727,0.697558545
51,52,UTE Monte Pascoal,0.091,11,Leilão 2/2007,137.6,104.8,104,fuel oil,South Bahia Energia Ltda,2007,75.00706015,115396781,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.115396781,BA,10490616.45,9.527272727,0.697558545
52,53,UTE Nova Olinda,0.091,11,Leilão 2/2007,165,120.8,120,fuel oil,Holdenn Construções Assessoria e Consultoria Ltda.,2007,76.81445919,183872002,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.183872002,TO,16715636.55,10.98181818,0.697558545
53,54,UTE Termonordeste,0.091,11,Leilão 2/2007,170.76,123.8,123,fuel oil,"Termomanaus, Ltda.",2007,76.79751483,91941260,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.09194126,RN,8358296.364,11.25454545,0.697558545
54,55,UTE Termoparaíba,0.091,11,Leilão 2/2007,170.8,123.9,123,fuel oil,"Termomanaus, Ltda.",2007,76.76927422,91941260,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.09194126,PB,8358296.364,11.26363636,0.697558545
55,56,UTE Tocantinópolis,0.091,11,Leilão 2/2007,165,120.8,120,fuel oil,Holdenn Construções Assessoria e Consultoria Ltda.,2007,76.75797797,183872002,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.183872002,TO,16715636.55,10.98181818,0.697558545
56,57,UTE Viana,0.091,11,Leilão 2/2007,170.76,121.5,121,fuel oil,Wärtsilä Brasil Ltda.,2007,75.23863315,218263044,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.218263044,ES,19842094.91,11.04545455,0.697558545
57,58,UTE São Luiz (Abengoa São Luiz),0.034,29,Leilão 1/2008,70,24,8,sugar cane bagasse,Abengoa Bioenergia São Luiz S.A.,2008,25.69985446,113004024,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.113004024,SP,3896690.483,0.827586207,0.647410359
58,59,UTE Barra Bioenergia,0.034,29,Leilão 1/2008,136,51.5,34,sugar cane bagasse,Barra Bioenergia S.A. – Filial UTE Barra Bioenergia,2008,25.69985446,147545587,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.147545587,SP,5087778.862,1.775862069,0.647410359
59,60,UTE Ben Bioenergia,0.034,29,Leilão 1/2008,30,26.4,24,biomass,"BEN – Bioenergia, Geração e Comercialização de Energia do Nordeste Ltda.",2008,25.03638387,43418800,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.0434188,PI,1497200,0.910344828,0.647410359
60,61,UTE Bioenergética Vale do Paracatu - BEVAP,0.034,29,Leilão 1/2008,80,39.2,20,sugar cane bagasse,Bioenergética Vale do Paracatu Ltda.,2008,25.69129355,60354422,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.060354422,MG,2081186.966,1.351724138,0.647410359
61,62,UTE Biopav II,0.034,29,Leilão 1/2008,140,49.6,15,sugar cane bagasse,Biopav S.A. Açúcar e Álcool. ,2008,25.69129355,89889564,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.089889564,SP,3099640.138,1.710344828,0.647410359
62,63,UTE Bonfim (Ampliação),0.034,29,Leilão 1/2008,45,18.8,10,sugar cane bagasse,Barra Bioenergia S.A. – Filial UTE Bonfim,2008,25.69985446,111927489,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.111927489,SP,3859568.586,0.648275862,0.647410359
63,64,UTE Cachoeira Dourada,0.034,29,Leilão 1/2008,80,35.5,15,sugar cane bagasse,U.S.J. - Açúcar e Álcool S.A.,2008,25.69985446,63249294,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.063249294,GO,2181010.138,1.224137931,0.647410359
64,65,UTE Caçú I,0.034,29,Leilão 1/2008,130,35.5,27,sugar cane bagasse,Rio Claro Agroindustrial S.A.,2008,25.69985446,78152983,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.078152983,GO,2694930.448,1.224137931,0.647410359
65,66,UTE CBB - Companhia Bioenergética Brasileira,0.034,29,Leilão 1/2008,18.1,6,6,sugar cane bagasse,Alda Participação e Agropecuária S.A.,2008,25.60140399,20409212,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.020409212,GO,703765.931,0.206896552,0.647410359
66,67,UTE Clealco-Queiroz  (Ampliação),0.034,29,Leilão 1/2008,35,11.3,7,sugar cane bagasse,Clealco Açúcar e Álcool S.A.,2008,25.89247496,15366835,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.015366835,SP,529890.8621,0.389655172,0.647410359
67,68,UTE Cocal II (Ampliação),0.034,29,Leilão 1/2008,120,55.5,22,sugar cane bagasse,Cocal Comércio e Indústria Canaã Açúcar e Álcool Ltda.,2008,26.11077819,84538995,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.084538995,SP,2915137.759,1.913793103,0.647410359
68,69,UTE Companhia Energética Vale do São Simão,0.034,29,Leilão 1/2008,50,12.6,12,sugar cane bagasse,Companhia Energética Vale do São Simão,2008,25.59284308,30942984,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.030942984,MG,1066999.448,0.434482759,0.647410359
69,70,UTE Conquista do Pontal,0.034,29,Leilão 1/2008,100,26,22,sugar cane bagasse,Usina Conquista do Pontal S.A,2008,25.69985446,67417173,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.067417173,SP,2324730.103,0.896551724,0.647410359
70,71,UTE Decasa,0.034,29,Leilão 1/2008,75,43,16,sugar cane bagasse,DECASA - Destilaria de Álcool Caiuá S.A.,2008,25.63992809,85181063,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.085181063,SP,2937278.034,1.482758621,0.647410359
71,72,UTE Destilaria Andrade (Ampliação),0.034,29,Leilão 1/2008,40.2,20,20,sugar cane bagasse,"Consórcio Andrade - Ibitiúva Bioenergética S.A. (58,42% - Líder do Consórcio); e Andrade Açúcar e Álcool S.A. (41,58%) ",2008,25.59712353,32813971,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.032813971,SP,1131516.241,0.689655172,0.647410359
72,73,UTE Ferrari (Ampliação),0.034,29,Leilão 1/2008,65.5,23.2,6,sugar cane bagasse,Ferrari Termoelétrica S.A.,2008,26.00804726,5720829,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.005720829,SP,197269.9655,0.8,0.647410359
73,74,UTE Jataí,0.034,29,Leilão 1/2008,105,41,34,sugar cane bagasse,Cosan Centroeste S.A. Açúcar e Álcool,2008,25.69985446,140304768,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.140304768,SP,4838095.448,1.413793103,0.647410359
74,75,UTE Noble Energia,0.034,29,Leilão 1/2008,30,16,11,sugar cane bagasse,Usina Noroeste Paulista Ltda.,2008,25.68273264,22472391,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.022472391,AP,774910.0345,0.551724138,0.647410359
75,76,UTE Noroeste Paulista,0.034,29,Leilão 1/2008,78,20.4,11,sugar cane bagasse,Usina Noroeste Paulista Ltda.,2008,25.66989128,34586080,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.03458608,AP,1192623.448,0.703448276,0.647410359
76,77,UTE Porto das Águas,0.034,29,Leilão 1/2008,70,12.5,12,sugar cane bagasse,Usina Porto das Águas Ltda.,2008,25.69985446,55499529,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.055499529,GO,1913776.862,0.431034483,0.647410359
77,78,UTE Santa Luzia I,0.034,29,Leilão 1/2008,130,35.5,26,sugar cane bagasse,Agro Energia Santa Luzia Ltda.,2008,25.69985446,78152983,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.078152983,MS,2694930.448,1.224137931,0.647410359
78,79,UTE São Fernando Açúcar e Álcool,0.034,29,Leilão 1/2008,48,13.7,5,sugar cane bagasse,São Fernando Açúcar e Álcool Ltda.,2008,25.40022258,32187313,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.032187313,MS,1109907.345,0.472413793,0.647410359
79,80,UTE Ipaussu,0.034,29,Leilão 1/2008,62,24.3,19,sugar cane bagasse,Barra Bioenergia S.A.,2008,25.69985446,91350484,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.091350484,SP,3150016.69,0.837931034,0.647410359
80,81,UTE Unidade de Bioenergia Água Emendada,0.034,29,Leilão 1/2008,72.7,27,27,sugar cane bagasse,Central Energética Água Emendada S.A.,2008,23.42693263,41246469,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.041246469,GO,1422292.034,0.931034483,0.647410359
81,82,UTE Unidade de Bioenergia Alto Taquari,0.034,29,Leilão 1/2008,72.7,27,27,sugar cane bagasse,Brenco Companhia Brasileira de Energia Renovável,2008,22.55371972,41246469,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.041246469,MT,1422292.034,0.931034483,0.647410359
82,83,UTE Unidade de Bioenergia Costa Rica,0.034,29,Leilão 1/2008,72.7,27,27,sugar cane bagasse,Brenco Companhia Brasileira de Energia Renovável,2008,23.00316754,41246469,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.041246469,MS,1422292.034,0.931034483,0.647410359
83,84,UTE Unidade de Bioenergia Morro Vermelho,0.034,29,Leilão 1/2008,72.7,27,27,sugar cane bagasse,Brenco Companhia Brasileira de Energia Renovável,2008,23.91490455,41246469,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.041246469,GO,1422292.034,0.931034483,0.647410359
84,85,UTE Vale do Tijuco,0.034,29,Leilão 1/2008,45,7.3,7,sugar cane bagasse,Companhia Energética de Açúcar e Álcool Vale do Tijuco Ltda.,2008,25.47727078,,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,#WERT!,MG,,0.251724138,0.647410359
85,86,UTE Chapadão Agroenergia,0.034,29,Leilão 1/2008,192,39.8,12,sugar cane bagasse,Chapadão Agroenergia Ltda.,2008,25.69985446,145535485,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.145535485,MS,5018465,1.372413793,0.647410359
86,87,UTE Cacimbaes,0.042,24,Leilão 3/2008,126.59,66.2,64,natural gas,"Consórcio Termo Cacimbaes - Thermes Participações S.A. (99,999%) e Spectrum Energy Partners Consultoria Ltda (0,001%) ",2008,62.06660389,111964729,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.111964729,ES,4665197.042,2.758333333,0.647410359
87,88,UTE Cauhyra I,0.042,24,Leilão 3/2008,148,68.1,68,fuel oil,Hexagonal Construções Ltda.,2008,62.49464943,94170020,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.09417002,ES,3923750.833,2.8375,0.647410359
88,89,UTE Escolha,0.042,24,Leilão 3/2008,337.56,194.1,189,natural gas,"Consórcio Termo Escolha - Thermes Participações S.A. (33,333%), Spectrum Energy Partners Consultoria Ltda (0,001%) e Trana Construções S.A. (66,666%)",2008,61.85258111,271536256,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.271536256,ES,11314010.67,8.0875,0.647410359
89,90,UTE Iconha,0.042,24,Leilão 3/2008,184,104.1,100,fuel oil,"Consórcio MC2 BE ES - Benco Energia Ltda. (10%) e
Águas Guariroba Ambiental Ltda. (90%)",2008,62.49464943,98814314,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.098814314,ES,4117263.083,4.3375,0.647410359
90,91,UTE MC2 Camaçari 2,0.042,24,Leilão 3/2008,176,103.3,99,fuel oil,"Consórcio MC2 EB BA - Ellobras Infraestrutura e Participações Ltda.(0,01%) e
Águas Guariroba Aambiental Ltda. (99,99%)",2008,62.48608852,140026539,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.140026539,BA,5834439.125,4.304166667,0.647410359
